director_name,imdb_score,movie_facebook_likes
John Blanchard,9.5,0
Frank Darabont,9.3,108000
Francis Ford Coppola,9.2,43000
John Stockwell,9.1,0
,9.1,0.0
,9.1,0.0
Christopher Nolan,9.0,37000
Francis Ford Coppola,9.0,14000
,9.0,61000.0
Peter Jackson,8.9,16000
Sidney Lumet,8.9,40000
Sergio Leone,8.9,20000
Quentin Tarantino,8.9,45000
Steven Spielberg,8.9,41000
David Fincher,8.8,48000
Robert Zemeckis,8.8,59000
Peter Jackson,8.8,21000
Irvin Kershner,8.8,17000
Christopher Nolan,8.8,175000
,8.8,0.0
,8.8,55000.0
,8.7,0.0
,8.7,459.0
Lana Wachowski,8.7,25000
Sadyk Sher-Niyaz,8.7,0
Milos Forman,8.7,32000
Peter Jackson,8.7,10000
George Lucas,8.7,33000
Akira Kurosawa,8.7,11000
Cary Bell,8.7,88
Mitchell Altieri,8.7,8
,8.7,0.0
Martin Scorsese,8.7,25000
Fernando Meirelles,8.7,28000
Steven Spielberg,8.6,22000
David Fincher,8.6,39000
Tony Kaye,8.6,35000
Hayao Miyazaki,8.6,28000
,8.6,20000.0
,8.6,59000.0
Jonathan Demme,8.6,40000
Frank Capra,8.6,41000
Christopher Nolan,8.6,349000
Michael Curtiz,8.6,23000
Sergio Leone,8.6,10000
Charles Chaplin,8.6,0
Mike Mayhall,8.6,49
Bryan Singer,8.6,28000
,8.6,31000.0
Ridley Scott,8.5,23000
Christopher Nolan,8.5,40000
Robert Zemeckis,8.5,39000
James Cameron,8.5,13000
Steven Spielberg,8.5,16000
Roman Polanski,8.5,21000
Christopher Nolan,8.5,164000
Ron Fricke,8.5,26000
Majid Majidi,8.5,0
Quentin Tarantino,8.5,199000
Martin Scorsese,8.5,29000
,8.5,10000.0
Raja Menon,8.5,10000
Damien Chazelle,8.5,129000
Roger Allers,8.5,17000
,8.5,0.0
Christopher Nolan,8.5,49000
Stanley Kubrick,8.5,18000
,8.5,31000.0
Frank Darabont,8.5,30000
Francis Ford Coppola,8.5,19000
Alfred Hitchcock,8.5,18000
Ridley Scott,8.5,21000
Florian Henckel von Donnersmarck,8.5,39000
Jay Oliva,8.4,5000
